"MGI:1913300","0610009B22Rik","0610009B22Rik<tm1b(EUCOMM)Hmgu>/0610009B22Rik<tm1b(EUCOMM)Hmgu>","MP:0001489","decreased startle reflex"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0001405","impaired coordination"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0001406","abnormal gait"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0001407","short stride length"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0001513","limb grasping"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0002066","abnormal motor capabilities/coordination/movement"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0004262","abnormal physical strength"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0005498","hyporesponsive to tactile stimuli"
"MGI:1922754","1700013F07Rik","1700013F07Rik<em2.1Fuxi>/1700013F07Rik<em2.1Fuxi>","MP:0010053","decreased grip strength"
"MGI:1921480","1700016K19Rik","1700016K19Rik<tm1.1(KOMP)Vlcg>/1700016K19Rik<tm1.1(KOMP)Vlcg>","MP:0001399","hyperactivity"
"MGI:1921480","1700016K19Rik","1700016K19Rik<tm1.1(KOMP)Vlcg>/1700016K19Rik<tm1.1(KOMP)Vlcg>","MP:0003313","abnormal locomotor activation"
"MGI:1914330","1700019D03Rik","1700019D03Rik<tm1.1(NCOM)Mfgc>/1700019D03Rik<tm1.1(NCOM)Mfgc>","MP:0010052","increased grip strength"
"MGI:1921534","1700086L19Rik","1700086L19Rik<tm1b(EUCOMM)Wtsi>/1700086L19Rik<tm1b(EUCOMM)Wtsi>","MP:0001399","hyperactivity"
"MGI:1921534","1700086L19Rik","1700086L19Rik<tm1b(EUCOMM)Wtsi>/1700086L19Rik<tm1b(EUCOMM)Wtsi>","MP:0003313","abnormal locomotor activation"
"MGI:1914608","1700093K21Rik","1700093K21Rik<em1(IMPC)J>/1700093K21Rik<em1(IMPC)J>","MP:0001392","abnormal locomotor behavior"
"MGI:1914608","1700093K21Rik","1700093K21Rik<em1(IMPC)J>/1700093K21Rik<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:1916801","2310022B05Rik","2310022B05Rik<tm1a(EUCOMM)Hmgu>/2310022B05Rik<tm1a(EUCOMM)Hmgu>","MP:0010052","increased grip strength"
"MGI:1919557","2510002D24Rik","2510002D24Rik<tm1.1(KOMP)Vlcg>/2510002D24Rik<tm1.1(KOMP)Vlcg>","MP:0001489","decreased startle reflex"
"MGI:1919557","2510002D24Rik","2510002D24Rik<tm1.1(KOMP)Vlcg>/2510002D24Rik<tm1.1(KOMP)Vlcg>","MP:0002574","increased vertical activity"
"MGI:1919908","2700097O09Rik","2700097O09Rik<tm1.1(KOMP)Vlcg>/2700097O09Rik<tm1.1(KOMP)Vlcg>","MP:0001513","limb grasping"
"MGI:1917669","2810408A11Rik","2810408A11Rik<tm1a(EUCOMM)Wtsi>/2810408A11Rik<tm1a(EUCOMM)Wtsi>","MP:0001513","limb grasping"
"MGI:3588196","3425401B19Rik","3425401B19Rik<em2(IMPC)Ccpcz>/3425401B19Rik<em2(IMPC)Ccpcz>","MP:0001515","abnormal grip strength"
"MGI:1914680","4921536K21Rik","4921536K21Rik<tm1a(KOMP)Wtsi>/4921536K21Rik<tm1a(KOMP)Wtsi>","MP:0001515","abnormal grip strength"
"MGI:1922337","4930505A04Rik","4930505A04Rik<tm1b(KOMP)Wtsi>/4930505A04Rik<tm1b(KOMP)Wtsi>","MP:0000745","tremors"
"MGI:2444631","4932438A13Rik","4932438A13Rik<tm1b(EUCOMM)Hmgu>/4932438A13Rik<+>","MP:0001402","hypoactivity"
"MGI:2444631","4932438A13Rik","4932438A13Rik<tm1b(EUCOMM)Hmgu>/4932438A13Rik<+>","MP:0001488","increased startle reflex"
"MGI:2444631","4932438A13Rik","4932438A13Rik<tm1b(EUCOMM)Hmgu>/4932438A13Rik<+>","MP:0003313","abnormal locomotor activation"
"MGI:2685508","A830031A19Rik","A830031A19Rik<tm1b(KOMP)Wtsi>/A830031A19Rik<tm1b(KOMP)Wtsi>","MP:0006358","absent pinna reflex"
"MGI:2147598","AI837181","AI837181<tm1b(KOMP)Wtsi>/AI837181<tm1b(KOMP)Wtsi>","MP:0001399","hyperactivity"
"MGI:2146559","AU021092","AU021092<tm1b(KOMP)Wtsi>/AU021092<+>","MP:0003313","abnormal locomotor activation"
"MGI:2140475","AU040320","AU040320<em1(IMPC)J>/AU040320<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:2146232","AW549877","AW549877<tm1b(EUCOMM)Wtsi>/AW549877<tm1b(EUCOMM)Wtsi>","MP:0001489","decreased startle reflex"
"MGI:2443767","Aaas","Aaas<tm1Ahue>/Aaas<tm1Ahue>","MP:0001402","hypoactivity"
"MGI:2443767","Aaas","Aaas<tm1Ahue>/Aaas<tm1Ahue>","MP:0001516","abnormal motor coordination/balance"
"MGI:1915008","Aadac","Aadac<em1(IMPC)Mbp>/Aadac<em1(IMPC)Mbp>","MP:0001489","decreased startle reflex"
"MGI:1345167","Aadat","Aadat<tm1Tag>/Aadat<tm1Tag>","MP:0001399","hyperactivity"
"MGI:1345167","Aadat","Aadat<tm1Tag>/Aadat<tm1Tag>","MP:0001525","impaired balance"
"MGI:1345167","Aadat","Aadat<tm1Tag>/Aadat<tm1Tag>","MP:0002862","abnormal righting response"
"MGI:1098687","Aak1","Aak1<tm1b(EUCOMM)Hmgu>/Aak1<tm1b(EUCOMM)Hmgu>","MP:0001399","hyperactivity"
"MGI:1098687","Aak1","Aak1<tm1b(EUCOMM)Hmgu>/Aak1<tm1b(EUCOMM)Hmgu>","MP:0001486","abnormal startle reflex"
"MGI:1098687","Aak1","Aak1<tm1b(EUCOMM)Hmgu>/Aak1<tm1b(EUCOMM)Hmgu>","MP:0001489","decreased startle reflex"
"MGI:1098687","Aak1","Aak1<tm1b(EUCOMM)Hmgu>/Aak1<tm1b(EUCOMM)Hmgu>","MP:0002574","increased vertical activity"
"MGI:1098687","Aak1","Aak1<tm1b(EUCOMM)Hmgu>/Aak1<tm1b(EUCOMM)Hmgu>","MP:0003313","abnormal locomotor activation"
"MGI:2384560","Aars","Aars<sti>/Aars<sti>","MP:0000745","tremors"
"MGI:2384560","Aars","Aars<sti>/Aars<sti>","MP:0001393","ataxia"
"MGI:2384560","Aars","Aars<sti>/Aars<sti>","MP:0001525","impaired balance"
"MGI:1914868","Aasdhppt","Aasdhppt<tm1.1(KOMP)Vlcg>/Aasdhppt<+>","MP:0001515","abnormal grip strength"
"MGI:99607","Abca1","Abca1<tm1b(EUCOMM)Hmgu>/Abca1<+>","MP:0001392","abnormal locomotor behavior"
"MGI:2676312","Abca12","Abca12<el12>/Abca12<el12>","MP:0001435","absent suckling reflex"
"MGI:2388711","Abca16","Abca16<em1(IMPC)J>/Abca16<em1(IMPC)J>","MP:0001513","limb grasping"
"MGI:2388711","Abca16","Abca16<em1(IMPC)J>/Abca16<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:99606","Abca2","Abca2<em1(IMPC)J>/Abca2<em1(IMPC)J>","MP:0001392","abnormal locomotor behavior"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0000745","tremors"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0001399","hyperactivity"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0001488","increased startle reflex"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0001516","abnormal motor coordination/balance"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0002574","increased vertical activity"
"MGI:99606","Abca2","Abca2<tm1Kdt>/Abca2<tm1Kdt>","MP:0003858","enhanced coordination"
"MGI:99606","Abca2","Abca2<tm1Nina>/Abca2<tm1Nina>","MP:0000745","tremors"
"MGI:99606","Abca2","Abca2<tm1Nina>/Abca2<tm1Nina>","MP:0001525","impaired balance"
"MGI:1351617","Abca3","Abca3<tm1Frm>/Abca3<tm1Frm>","MP:0005202","lethargy"
"MGI:1351617","Abca3","Abca3<tm1Holz>/Abca3<tm1Holz>","MP:0005202","lethargy"
"MGI:2386607","Abca5","Abca5<tm1Akya>/Abca5<tm1Akya>","MP:0000745","tremors"
"MGI:1351646","Abca7","Abca7<tm2b(EUCOMM)Hmgu>/Abca7<tm2b(EUCOMM)Hmgu>","MP:0003313","abnormal locomotor activation"
"MGI:1351619","Abcb11","Abcb11<tm1b(EUCOMM)Hmgu>/Abcb11<+>","MP:0003313","abnormal locomotor activation"
"MGI:97570","Abcb1a","Abcb1a<mds>/Abcb1a<mds>","MP:0000745","tremors"
"MGI:1352447","Abcc2","Abcc2<tm2b(KOMP)Wtsi>/Abcc2<tm2b(KOMP)Wtsi>","MP:0001515","abnormal grip strength"
"MGI:1351644","Abcc5","Abcc5<em1(IMPC)H>/Abcc5<em1(IMPC)H>","MP:0001486","abnormal startle reflex"
"MGI:1351644","Abcc5","Abcc5<em1(IMPC)H>/Abcc5<em1(IMPC)H>","MP:0001513","limb grasping"
"MGI:1351644","Abcc5","Abcc5<em1(IMPC)H>/Abcc5<em1(IMPC)H>","MP:0003313","abnormal locomotor activation"
"MGI:1352629","Abcc8","Abcc8<em1(IMPC)J>/Abcc8<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:1349215","Abcd1","Abcd1<tm1Kds>/?","MP:0001405","impaired coordination"
"MGI:1349215","Abcd1","Abcd1<tm1Kds>/?","MP:0003313","abnormal locomotor activation"
"MGI:1349215","Abcd1","Abcd1<tm1Kds>/Abcd1<tm1Kds>","MP:0001405","impaired coordination"
"MGI:1349215","Abcd1","Abcd1<tm1Kds>/Abcd1<tm1Kds>","MP:0001516","abnormal motor coordination/balance"
"MGI:1349215","Abcd1","Abcd1<tm1Kds>/Abcd1<tm1Kds>","MP:0002757","decreased vertical activity"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0000745","tremors"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001392","abnormal locomotor behavior"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001393","ataxia"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001399","hyperactivity"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001405","impaired coordination"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001504","abnormal posture"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001516","abnormal motor coordination/balance"
"MGI:1349467","Abcd2","Abcd2<tm1Apuj>/Abcd2<tm1Apuj>","MP:0001525","impaired balance"
"MGI:1349216","Abcd3","Abcd3<em1(IMPC)J>/Abcd3<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:1349217","Abcd4","Abcd4<tm1a(EUCOMM)Hmgu>/Abcd4<tm1a(EUCOMM)Hmgu>","MP:0005316","abnormal response to tactile stimuli"
"MGI:1195458","Abce1","Abce1<tm1.1(KOMP)Vlcg>/Abce1<+>","MP:0003313","abnormal locomotor activation"
"MGI:107704","Abcg1","Abcg1<tm1Asch>/Abcg1<tm1Asch>","MP:0001399","hyperactivity"
"MGI:1351659","Abcg5","Abcg5<trac>/Abcg5<trac>","MP:0001505","hunched posture"
"MGI:1914720","Abcg8","Abcg8<tm1b(KOMP)Wtsi>/Abcg8<tm1b(KOMP)Wtsi>","MP:0001523","impaired righting response"
"MGI:1923442","Abhd12","Abhd12<tm1Crv>/Abhd12<tm1Crv>","MP:0001393","ataxia"
"MGI:1923442","Abhd12","Abhd12<tm1Crv>/Abhd12<tm1Crv>","MP:0001399","hyperactivity"
"MGI:1923442","Abhd12","Abhd12<tm1Crv>/Abhd12<tm1Crv>","MP:0001405","impaired coordination"
"MGI:1923442","Abhd12","Abhd12<tm1Crv>/Abhd12<tm1Crv>","MP:0001489","decreased startle reflex"
"MGI:1923442","Abhd12","Abhd12<tm1Crv>/Abhd12<tm1Crv>","MP:0006359","absent startle reflex"
"MGI:2685650","Abhd12b","Abhd12b<em1(IMPC)J>/Abhd12b<em1(IMPC)J>","MP:0003313","abnormal locomotor activation"
"MGI:1914727","Abhd15","Abhd15<tm1b(KOMP)Wtsi>/Abhd15<tm1b(KOMP)Wtsi>","MP:0001515","abnormal grip strength"
"MGI:1913332","Abhd6","Abhd6<tm1a(EUCOMM)Hmgu>/Abhd6<tm1a(EUCOMM)Hmgu>","MP:0001399","hyperactivity"
"MGI:1918946","Abhd8","Abhd8<tm1b(EUCOMM)Wtsi>/Abhd8<tm1b(EUCOMM)Wtsi>","MP:0001399","hyperactivity"
"MGI:1918946","Abhd8","Abhd8<tm1b(EUCOMM)Wtsi>/Abhd8<tm1b(EUCOMM)Wtsi>","MP:0003313","abnormal locomotor activation"
"MGI:106913","Abi2","Abi2<tm1b(EUCOMM)Wtsi>/Abi2<tm1b(EUCOMM)Wtsi>","MP:0001399","hyperactivity"
"MGI:106913","Abi2","Abi2<tm1b(EUCOMM)Wtsi>/Abi2<tm1b(EUCOMM)Wtsi>","MP:0001402","hypoactivity"
"MGI:106913","Abi2","Abi2<tm1b(EUCOMM)Wtsi>/Abi2<tm1b(EUCOMM)Wtsi>","MP:0003313","abnormal locomotor activation"
"MGI:87860","Abl2","Abl2<tm1Ajk>/Abl2<tm1Ajk>","MP:0001405","impaired coordination"
"MGI:87860","Abl2","Abl2<tm1Ajk>/Abl2<tm1Ajk>","MP:0001489","decreased startle reflex"
"MGI:87860","Abl2","Abl2<tm1Ajk>/Abl2<tm1Ajk>","MP:0001516","abnormal motor coordination/balance"
"MGI:87860","Abl2","Abl2<tm1Ajk>/Abl2<tm1Ajk>","MP:0005357","novel environmental response-related retropulsion"
"MGI:87860","Abl2","Abl2<tm1Ajk>/Abl2<tm1Ajk>","MP:0006359","absent startle reflex"
"MGI:2385758","Ablim2","Ablim2<em1(IMPC)J>/Ablim2<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:2385758","Ablim2","Ablim2<em1(IMPC)J>/Ablim2<em1(IMPC)J>","MP:0003313","abnormal locomotor activation"
"MGI:2139365","Abtb2","Abtb2<tm1a(KOMP)Wtsi>/Abtb2<tm1a(KOMP)Wtsi>","MP:0001515","abnormal grip strength"
"MGI:895149","Acadvl","Acadvl<tm1Zkhu>/Acadvl<tm1Zkhu> Tg(Myh6-cre)1Jmk/?","MP:0005202","lethargy"
"MGI:99602","Acan","Acan<cmd>/Acan<+>","MP:0001406","abnormal gait"
"MGI:2181074","Acbd3","Acbd3<tm1b(EUCOMM)Hmgu>/Acbd3<+>","MP:0001486","abnormal startle reflex"
"MGI:2181074","Acbd3","Acbd3<tm1b(EUCOMM)Hmgu>/Acbd3<+>","MP:0001488","increased startle reflex"
"MGI:1921409","Acbd5","Acbd5<tm1b(EUCOMM)Wtsi>/Acbd5<tm1b(EUCOMM)Wtsi>","MP:0001406","abnormal gait"
"MGI:1921409","Acbd5","Acbd5<tm1b(EUCOMM)Wtsi>/Acbd5<tm1b(EUCOMM)Wtsi>","MP:0001513","limb grasping"
"MGI:2181962","Acer1","Acer1<tm1a(EUCOMM)Wtsi>/Acer1<tm1a(EUCOMM)Wtsi>","MP:0001399","hyperactivity"
"MGI:1913440","Acer3","Acer3<tm1Cmao>/Acer3<tm1Cmao>","MP:0001405","impaired coordination"
"MGI:1913440","Acer3","Acer3<tm1Cmao>/Acer3<tm1Cmao>","MP:0001513","limb grasping"
"MGI:1913440","Acer3","Acer3<tm1Cmao>/Acer3<tm1Cmao>","MP:0002757","decreased vertical activity"
"MGI:87876","Ache","Ache<tm1.1Hssh>/Ache<tm1.1Hssh>","MP:0000745","tremors"
"MGI:87876","Ache","Ache<tm1.1Pata>/Ache<tm1.1Pata>","MP:0000745","tremors"
"MGI:87876","Ache","Ache<tm1Loc>/Ache<tm1Loc>","MP:0000745","tremors"
"MGI:87876","Ache","Ache<tm1Loc>/Ache<tm1Loc>","MP:0001394","circling"
"MGI:87876","Ache","Ache<tm1Loc>/Ache<tm1Loc>","MP:0001406","abnormal gait"
"MGI:87876","Ache","Ache<tm1Loc>/Ache<tm1Loc>","MP:0001504","abnormal posture"
"MGI:87876","Ache","Ache<tm1Loc>/Ache<tm1Loc>","MP:0001523","impaired righting response"
"MGI:87876","Ache","Ache<tm2Pata>/Ache<tm2Pata>","MP:0000745","tremors"
"MGI:87876","Ache","Ache<tm3Pata>/Ache<tm3Pata>","MP:0000746","weakness"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0000746","weakness"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0001504","abnormal posture"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0001505","hunched posture"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0003492","abnormal involuntary movement"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0010053","decreased grip strength"
"MGI:87876","Ache","Ache<tm4Pata>/Ache<tm4Pata>","MP:0010053","decreased grip strength"
"MGI:109562","Ackr3","Ackr3<tm2b(EUCOMM)Wtsi>/Ackr3<+>","MP:0000745","tremors"
"MGI:109562","Ackr3","Ackr3<tm2b(EUCOMM)Wtsi>/Ackr3<+>","MP:0010053","decreased grip strength"
"MGI:103206","Acod1","Acod1<em1(IMPC)J>/Acod1<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:1914084","Acot13","Acot13<tm1Deco>/Acot13<tm1Deco>","MP:0001399","hyperactivity"
"MGI:1914084","Acot13","Acot13<tm1Deco>/Acot13<tm1Deco>","MP:0001402","hypoactivity"
"MGI:2159605","Acot2","Acot2<em1(IMPC)J>/Acot2<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:2159605","Acot2","Acot2<em1(IMPC)J>/Acot2<em1(IMPC)J>","MP:0010053","decreased grip strength"
"MGI:1917275","Acot7","Acot7<tm1.1Mwol>/Acot7<tm1.1Mwol> Tg(Nes-cre)1Kln/?","MP:0001399","hyperactivity"
"MGI:1917275","Acot7","Acot7<tm1.1Mwol>/Acot7<tm1.1Mwol> Tg(Nes-cre)1Kln/?","MP:0001402","hypoactivity"
"MGI:1917275","Acot7","Acot7<tm1.1Mwol>/Acot7<tm1.1Mwol> Tg(Nes-cre)1Kln/?","MP:0001405","impaired coordination"
"MGI:1921371","Acoxl","Acoxl<em1(IMPC)Mbp>/Acoxl<em1(IMPC)Mbp>","MP:0001486","abnormal startle reflex"
"MGI:87882","Acp2","Acp2<nax>/Acp2<nax>","MP:0000745","tremors"
"MGI:87882","Acp2","Acp2<nax>/Acp2<nax>","MP:0001393","ataxia"
"MGI:3587728","Acsbg2","Acsbg2<tm1a(EUCOMM)Wtsi>/Acsbg2<tm1a(EUCOMM)Wtsi>","MP:0010052","increased grip strength"
"MGI:2388287","Acsf2","Acsf2<tm1.1(KOMP)Vlcg>/Acsf2<tm1.1(KOMP)Vlcg>","MP:0001392","abnormal locomotor behavior"
"MGI:2388287","Acsf2","Acsf2<tm1.1(KOMP)Vlcg>/Acsf2<tm1.1(KOMP)Vlcg>","MP:0010052","increased grip strength"
"MGI:102797","Acsl1","Tg(Myh6-Acsl1)O7Jesc/?","MP:0005202","lethargy"
"MGI:894291","Acsl6","Acsl6<tm1.1Jeme>/Acsl6<tm1.1Jeme>","MP:0001405","impaired coordination"
"MGI:894291","Acsl6","Acsl6<tm1.1Jeme>/Acsl6<tm1.1Jeme>","MP:0001489","decreased startle reflex"
"MGI:87902","Acta1","Acta1<tm1Hrd>/Acta1<+>","MP:0001402","hypoactivity"
"MGI:87902","Acta1","Acta1<tm1Hrd>/Acta1<+>","MP:0010053","decreased grip strength"
"MGI:2150030","Actd1","Actd1<C57BL/6J>/?","MP:0001399","hyperactivity"
"MGI:2150030","Actd1","Actd1<DBA/2J>/?","MP:0001402","hypoactivity"
"MGI:2150031","Actd2","Actd2<C57BL/6J>/?","MP:0001399","hyperactivity"
"MGI:2150031","Actd2","Actd2<DBA/2J>/?","MP:0001402","hypoactivity"
"MGI:2150032","Actd3","Actd3<C57BL/6J>/?","MP:0001399","hyperactivity"
"MGI:2150032","Actd3","Actd3<DBA/2J>/?","MP:0001402","hypoactivity"
"MGI:2150033","Actd4","Actd4<DBA/2J>/?","MP:0001399","hyperactivity"
"MGI:87906","Actg1","Actg1<tm1.2Erv>/Actg1<tm1.2Erv> Tg(ACTA1-cre)79Jme/?","MP:0001402","hypoactivity"
"MGI:87906","Actg1","Actg1<tm1.2Erv>/Actg1<tm1.2Erv> Tg(ACTA1-cre)79Jme/?","MP:0001513","limb grasping"
"MGI:87906","Actg1","Actg1<tm1Erv>/Actg1<tm1Erv> Tg(ACTA1-cre)79Jme/?","MP:0001402","hypoactivity"
"MGI:87906","Actg1","Actg1<tm1Erv>/Actg1<tm1Erv> Tg(ACTA1-cre)79Jme/?","MP:0001513","limb grasping"
"MGI:1933548","Actl6b","Actl6b<tm1Grc>/Actl6b<tm1Grc>","MP:0001399","hyperactivity"
"MGI:2151936","Actre1","Actre1<C57BL/6J>/Actre1<C57BL/6J>","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:2151936","Actre1","Actre1<C57BL/6J>/Actre1<DBA/2J>","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:2151936","Actre1","Actre1<DBA/2J>/Actre1<DBA/2J>","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:2151937","Actre2","Actre2<C57BL/6J>/?","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:2151937","Actre2","Actre2<C57BL/6J>/Actre2<C57BL/6J>","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:2151937","Actre2","Actre2<C57BL/6J>/Actre2<C57BL/6J>","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:3694111","Actre5","Actre5<BALB/cJ>/?","MP:0002629","hyperactivity elicited by ethanol administration"
"MGI:3694112","Actre6","Actre6<LP/J>/Actre6<LP/J>","MP:0001402","hypoactivity"
"MGI:1923902","Actrt3","Actrt3<tm1.1(KOMP)Vlcg>/Actrt3<tm1.1(KOMP)Vlcg>","MP:0003313","abnormal locomotor activation"
"MGI:87911","Acvr1","Acvr1<tm1Emsh>/Acvr1<+>","MP:0002066","abnormal motor capabilities/coordination/movement"
"MGI:87911","Acvr1","Acvr1<tm1Mak>/Acvr1<+> Olig2<tm1.1(cre)Wdr>/Olig2<+>","MP:0001393","ataxia"
"MGI:87911","Acvr1","Acvr1<tm2.1Vlcg>/Acvr1<+> Tg(Prrx1-cre)1Cjt/?","MP:0002066","abnormal motor capabilities/coordination/movement"
"MGI:87912","Acvr2b","Acvr2b<tm1.1(KOMP)Vlcg>/Acvr2b<+>","MP:0001489","decreased startle reflex"
"MGI:87913","Acy1","Acy1<em1(IMPC)J>/Acy1<em1(IMPC)J>","MP:0001406","abnormal gait"
"MGI:87913","Acy1","Acy1<em1(IMPC)J>/Acy1<em1(IMPC)J>","MP:0001515","abnormal grip strength"
"MGI:87913","Acy1","Acy1<em1(IMPC)J>/Acy1<em1(IMPC)J>","MP:0003313","abnormal locomotor activation"
"MGI:1923023","Adad2","Adad2<em1(IMPC)J>/Adad2<em1(IMPC)J>","MP:0003313","abnormal locomotor activation"
"MGI:1098667","Adam11","Adam11<tm1Sag>/Adam11<tm1Sag>","MP:0001405","impaired coordination"
"MGI:105986","Adam18","Adam18<tm1Lex>/Adam18<tm1Lex>","MP:0003858","enhanced coordination"
"MGI:1340046","Adam22","Adam22<tm1Sag>/Adam22<tm1Sag>","MP:0001393","ataxia"
"MGI:1345162","Adam23","Adam23<Gt(KST021)Byg>/Adam23<Gt(KST021)Byg>","MP:0000745","tremors"
"MGI:1345162","Adam23","Adam23<Gt(KST021)Byg>/Adam23<Gt(KST021)Byg>","MP:0001393","ataxia"
